population,generations_ago,Ne
Africa,6335.804992658254,11772.56896726839
Africa,6394.488428556937,11742.799617562105
Africa,6453.715401646702,11709.604518064012
Africa,6513.490946272803,11635.75367743671
Africa,6573.820143409585,11622.14524672144
Africa,6634.708121092351,11584.998105294708
Africa,6696.160054853215,11559.98585513196
Africa,6758.181168161111,11507.16598748233
Africa,6820.7767328656855,11474.979671262572
Africa,6883.9520696454965,11455.389634200405
Africa,6947.71254846024,11420.779878383502
Africa,7012.063589007177,11413.010018090274
Africa,7077.010661181889,11381.420496386992
Africa,7142.559285543126,11322.946322073987
Africa,7208.715033782135,11290.505683909769
Africa,7275.483529196233,11234.776060119902
Africa,7342.870447166758,11188.147327046392
Africa,7410.881515641569,11171.91279125726
Africa,7479.522515621821,11119.03189952952
Africa,7548.799281653432,11063.922874600104
Africa,7618.717702322999,11023.492747866028
Africa,7689.283720758305,10997.387030689048
Africa,7760.503335133571,10926.283677090443
Africa,7832.382599179196,10877.202377374888
Africa,7904.92762269642,10844.656735533688
Africa,7978.144572076629,10836.579799037338
Africa,8052.039670825469,10836.579799037338
Africa,8126.6192000919455,10819.951615475738
Africa,8201.889499202203,10739.59313425789
Africa,8277.856966198473,10701.86969757391
Africa,8354.528058382872,10677.957334296998
Africa,8431.90929286625,10655.173516237832
Africa,8510.007247122247,10570.517470956402
Africa,8588.82855954625,10541.07801938884
Africa,8668.379930019773,10513.274186500432
Africa,8748.668120479913,10470.29504721186
Africa,8829.699955494083,10413.935075391337
Africa,8911.482322840202,10293.609609269286
Africa,8994.022174092044,10211.614006542084
Africa,9077.326525210225,10128.814880314942
Africa,9161.402457138522,10100.831611003792
Africa,9246.257116405734,10090.24724947538
Africa,9331.89771573324,10053.984531055292
Africa,9418.33153464795,10025.437450617352
Africa,9505.565920101191,9994.269209245886
Africa,9593.608287093146,9877.873284130856
Africa,9682.466119303124,9838.999932363007
Africa,9772.146969725723,9719.782325877604
Africa,9862.65846131282,9703.295724903195
Africa,9954.008287621518,9628.498234423088
Africa,10046.204213468132,9612.803160277774
Africa,10139.254075588144,9580.103643335711
Africa,10233.16578330245,9551.024484263398
Africa,10327.947319189523,9530.131889630306
Africa,10423.60673976401,9482.334343393151
Africa,10520.152176161591,9457.862652142723
Africa,10617.591834829993,9383.39122490552
Africa,10715.933998226712,9363.102963716285
Africa,10815.187025522891,9290.005130196603
Africa,10915.35935331391,9250.231704354675
Africa,11016.459496336567,9210.456457472974
Africa,11118.4960481927,9148.921889777355
Africa,11221.477682079802,9081.888231055573
Africa,11325.413151528126,9053.07033719331
Africa,11430.311291144786,8982.877231950531
Africa,11536.181017364785,8925.635169691539
Africa,11643.031329208756,8914.62827681559
Africa,11750.871309048076,8867.105442296313
Africa,11859.710123376706,8841.796221966797
Africa,11969.557023590429,8772.782888293284
Africa,12080.42134677329,8757.047003471
Africa,12192.312516491094,8744.53210199803
Africa,12305.240043592616,8685.14428838807
Africa,12419.213527017846,8667.257982238887
Africa,12534.242654613994,8651.466869450262
